@relation tinkaTest
@attribute text string
@attribute class {neutral,worry,angry,happy}

@Data
'habe die rechnung bezahlt Handy/Internet ist gesperrt', neutral
'warum ist der service so {FullName_1}?', neutral
'handynummer von {FullName_1} zips', neutral
'{FullName_1} code', neutral
'Hallo sind auf euren home net box /router ein branding darauf oder kann diese auch mit anderen {FullName_1} betrieben werden?', neutral
'Kein Antwort?', angry
'Meine Verbindungen von {Date_4}', neutral
'Verbindung Nachweis von {Date_4}', neutral
'Hallo - ich habe ein problem. es ist nur {Date_3} und mein ganzes Home internet ( 40GB) ist aus. Wie kann das sein? ich habe es selber nicht so viel verwendet...Und es war bis jetzt nie so das ich schon am 17ten all Daten benutzt habe. Ich glaube  es ist etwas falsches dieses Mal. Können sie bitte mal schauen? Danke {FullName_1}', angry
'Hallo - ich habe ein problem. es ist nur {Date_3} und mein ganzes Home internet ( 40GB) ist aus. Wie kann das sein? ich habe es selber nicht so viel verwendet...Und es war bis jetzt nie so das ich schon am 17ten all Daten benutzt habe. Ich glaube  es ist etwas falsches dieses Mal. Können sie bitte mal schauen? Danke Lg {FullName_1}', angry
'Hallo! Könnten Sie mir sagen wann mein vertag abläuft?', neutral
'Wieso habe ich kein signal wenn ich im Ausland bin', neutral
'guten tag', neutral
'Email account einrichten', neutral
'kündigen', neutral
'Prepaid Kreditkarte', neutral
'Hallo ich fahre ein paar Wochen nach {Country_1} und werde in dieser Zeit das GPS und Mobile Datenübertragung nutzen welche Kosten können auf mich zukommen?', neutral
'umfang des tarif', neutral
'wir haben travel und surf bei unseren tarifen dabei aber in welchem umfang', neutral
'Möchte meinen bestehenden Tarif verlängern. Derzeit bezahle ich 50% Call & Surf Easy also € 45. Welchen Betrag würde ich bezahlen wenn ich den Vertrag verlängern würde', neutral
'Möchte meinen bestehenden Tarif verlängern. Derzeit bezahle ich 50% Call & Surf Easy also € 45. Würde ich den Vertrag', neutral
'Meine Mama ist 84 und braucht jetzt ein Seniorenhandy leider passt die {FullName_1} nicht ins neue da sie zu groß ist wie kann ich für sie eine neue bestellen? DANKE', neutral
'Ich hab rechnung gekriegt Aber warum 64 Euro ich kann {FullName_1} verstehen', worry
'rufumleitung auf italienisch nummer', neutral
'ich habe fragen wegen meinem rechung warum kommt das immer höcher', worry
'hallo mein mobiles surfen innehalb der eu funktioniert nicht obwohl mobile daten sowie roaming eingeschalten sind.', neutral
'Ich benötige eine Bestätigung für den Tag des Vertragsabschlusses des Internettarifes', neutral
'kosten sprachbox', neutral
'sprachbox', neutral
'aufladen {FullName_1}', neutral
'wie kann ich mein guthaben aufladen', neutral
'ich habe vor rund 15 Monaten meine iPhone bei Mobile erworben. E', neutral
'Wie viel kostet der Volume boost?', neutral
'Vertrag updaten', neutral
'Vertrag verlängern', neutral
'Alle rechnungem', neutral
'?', neutral
'also - kanndas jemand sich bitte sofort anschauen?', angry
'gut gib mir eine antwort was das soll. es ist alles zu lgnsam', angry
'hallo meine fragen wrden nicht beantwortet', angry
'kann jemand bitte das beantworten was ich schreibe?', angry
'kann mir jemand helfen um mein internet zu beshcleunigen?', angry
'Wieso habe ich bei test keine auscherichend strke verbdngun?', neutral
'Hi. I have a question regarding my Number (+{CreditCardNumber_1}) I m abroad now and I {FullName_1}t have any service it {FullName_1} written {FullName_1} service for already a couple of days.', neutral
'{Dictionary_1} {Password_1}', neutral
'Ich möchte meine derzeitige homenetbox gegen das aktuelle modell tauschen. Was ist zu tun? Online finde ich keine möglichkeit.', neutral
'flamingos einlösen', neutral
'guthaben kaufen', neutral
'Guten Tag ich wollte mich in mein Konte einloggen aber es kommt die meldung das der account gesperrt ist und das ich mich an den Support wenden soll. Wer kann mir weiterhelfen', neutral
'Hallo {FullName_1} obwohl LTE bei meinem Empfang steht geht mein Internet elends langsam.', angry
'ich habe einen euen vertrag bei drei und die 0676 nummer mitgenommen', neutral
'weder noch', neutral
'{FullName_1} lock', neutral
'welche vorteile bringt mir vertragsverlängerung von my homenet light {Date_1}', neutral
'Warum haben Sie mir KLAX FLEX storniert. Ich habe nur {Blacklist_Chat_1} {BLZ_1} abgemeldet.', angry
'Vertrag übertragen', neutral
'Ich wollte fragen', neutral
'mediacenter', neutral
'my phonebook basis dienst kündigen', neutral
'Mein Internet im Ausland funktioniert nicht. Was kann ich tun?', neutral
'Nein ich habe keine Sperren eingestellt.', neutral
'Zone 1', neutral
'Internet dazu kaufen', neutral
'ich kann mich nicht einloggen warum?', neutral
'mit meinem android', neutral
'Ist ein {Location_1} von meinem derzeitigen Tarif HIT 55 Plus auf MY KLAX FLEX 4 . 000 möglich?', neutral
'Ist ein {Location_1} von meinem derzeitigen Tarif HIT 55 Plus auf MY KLAX FLEX 4 000 möglich?', neutral
'Wie kann ich von HIT 55 Plus auf MY KLAX FLEX 4 . 000 wechseln.', neutral
'Guten Tag ich mochte fragen....ich gekaufte im {Dictionary_1} gutschein 15€ fur {Street_1} Werktkarte. Und jetyt wenn ich mochte aufladen.....ist das nicht {Street_1} aber Klax Wertkarte. Ich nicht kontrolierte im {Dictionary_1}. Welche {FullName_1} karte geht aufladen? {Street_1} geht nicht. Vileicht ich schenke fur meine kolegin.....Geht das nur fur Klax oder {Blacklist_Tinka_1} oder A1?', neutral
'Ich will eine Sprachbox auf meinem Wertkartenhandy einrichten.', neutral
'tarife', neutral
'zum abhören meiner sprachnachricht braucht ich ?vox-passwort? wie komm ich zu dem', neutral
'kann ich ab jetzt meine inkludierte datenvolumen auch in ausland verbrauchen? ein teil {FullName_1} mindestens?', neutral
'roaming ab {Date_3}', neutral
'Wie rufe ich meine Box ab', neutral
'{FullName_1} wechseln', neutral
'Wieso hab ich keine Internetverbindung?', neutral
'guten tag ich habe ungarisches bankkonto wie kann ich die IBAN-Nummer eingeben? Sie haben nicht genug Charakter nicht zu akzeptieren. danke schön', neutral
'Hallo ich bins hanoglu {FullName_1} ich möchte neue handy haben bitte', neutral
'Wie kann ich ihnen erreichen auf handy', neutral
'ich habe meinen Lincolnvergessen und dieser ist nun gesperrt. jjajJoachimrossa {Date_3} {PhoneNumber_1} wie kkondensiertmir schnell helfen?0', neutral
'Ist das NOKIA {ZipCode_1} so wie im Shop beschrieben in {Date_3} tagen bei uns?', neutral
'Was ist bei euch billig?', neutral
'was ist das aktuellste handy?', neutral
'wie sind die öffnungszeiten?', neutral
'Wieviele Produkte hat T-Mobile?', neutral
'gewinnspiel', neutral
'Wollte iPhone tauschen {FullName_1} nicht erkannt', neutral
'http://keinzugriff.t-mobile.at/403.html?error_id=4434795425767031909', neutral
'Welche Weihnachtsangebote gibt es fürNeukunden die wenig telefonieren und surfen', neutral
'Wie kann ich mein Konto entsperren lassen', neutral
'Zahlungsdienste', neutral
'hello I need {FullName_1} pay my final {FullName_1} . {FullName_1} account {FullName_1} not active. {FullName_1} can I find {FullName_1} amount {FullName_1} {FullName_1} {PhoneNumber_1}', neutral
'hello I nenne {FullName_1} prepay my final {FullName_1} account {FullName_1} note active {FullName_1} an I finde ehe account I {FullName_1} {PhoneNumber_1}', neutral
'I need {FullName_1} pay my final {FullName_1}. My account {FullName_1} not active. {FullName_1} can I find {FullName_1} amount {PhoneNumber_1}', neutral
'Woher kommen die 10€ erhötes datenvolumen', worry
'Travel & Surf', neutral
'Meine Rufnummer sollte heute wieder reaktiviert sein leider funktioniert es immer noch nicht', worry
'Wo kann ich meine Bonuspunkte einsehen#', neutral
'Kündigung', neutral
'vertrag verlängern ab wann', neutral
'rufnummer ändern', neutral
'Keine bindubg', neutral
'Keine bindung', neutral
'kreditkarte', neutral
'ydfgadfg', neutral
'{FullName_1} karte nicht aktiviert', neutral
'Nano {FullName_1} freischalten', neutral
'Guten Abend! ich werde Sie gerne fragen ob möglich wäre ein Iphone 6 Plus zu bestellen?', neutral
'Login {Password_1} nicht mehr', neutral
'cube einstellungen', neutral
'Ich habe die HomeNet Box von meinem Neffen und suche nun einen Internettarif ohne Bindung ?', neutral
'versicherrung', neutral
'die gebühren iHv € 297 Tel {Location_1} wo sehe ich die exakten daten hierzu?', neutral
'bittr meinen neuen pük', neutral
'bittte jetzzt', neutral
'sags mir', neutral
'wie geht mein {FullName_1}', neutral
'wir geht mein pük', neutral
'Vertrag kündigen', neutral
'wo finde ich meine flamingos', neutral
'{FullName_1} sperren', neutral
'mochte mein t-mobile für {FullName_1} nummer anzeigen', neutral
'wo ist da login', neutral
'kündigung', neutral
'Huawei p9 lite', neutral
'aktivierung simkarte iphone', neutral
'iphone simkartentausch', neutral
'Wieso ist mein Internet zulangsam ?', neutral
'ich habe schlechte verbindungen mit meinen wlan box', neutral
'tarifangebot', neutral
'Mein i phone 6 S wird nach Sekunden heiß . ich kann nur über das i pad den neuen code empfangen', neutral
'apn profil', neutral
'APN profil erstellen', neutral
'{FullName_1} {Street_1} {FullName_1} talked {FullName_1} a lady {FullName_1} broke {FullName_1} relationship', neutral
'{FullName_1}', neutral
'Warum geht mein Internet nicht', neutral
'{FullName_1} anfordern', neutral
'Kann kein neues Email verfassen', neutral
'Neues Email schreiben', neutral
'klaxfix', neutral
'Hallo!Ich möchte Tarif anwechseln.Ich vollte frage wie kostet der roaming bei Klax Flex?', neutral
'My Klax Flex', neutral
'Wie kann ich meinen Vertrag kündigen?', neutral
'Wie lange habe ich eine Kündigungsfrist', neutral
'Wie lange habe ich eine Kündiungsfrist', neutral
'hallo wo finde ich das {Dictionary_1} {Password_1} meine homenet box', neutral
'shopfinder', neutral
'Kündigung', neutral
'verlängerung statt kündigung', neutral
'Wollte wissen wie lange ich schon bei tmobile kunde {Customer_1}?', neutral
'Warum habe ich Gebühren in der Höhe von 70€?', worry
'kündigen {FullName_1} mail', neutral
'wie kann ich kündigen', neutral
'Wie kann ich die {Blacklist_Chat_1} deaktivieren', neutral
'Sperre nach bestimmtem rechnungsbetrag', neutral
'Hallo leider kann ich meine mail nicht abrufen. kommt immer eine neu anmeldung', neutral
'Welche Voraussetzung ist für Businesstarife notwendig', neutral
'?', neutral
'Hallo ich wollte fragen wie das abläuft mit Rufnummer umändern ?', neutral
'Was ?', neutral
'nein', neutral
'my mobile light', neutral
'my mobile light unlimited tarif gültig für alle netze', neutral
't-mobile light tarif', neutral
't-mobile light tarif unlimited in alle netze', neutral
'bGuthaben abfrage', neutral
'Hallo! Wie hoch ist mein offener Betrag?', neutral
'posteingang', neutral
'Wie viel ist noch auf der Rechnung offen ?', neutral
'yes what {FullName_1} {FullName_1} possibilities for international calls {FullName_1} but calling from Slovenia', neutral
'kann ich bitte eine telefon nummer bekommen damit ich T mobile anrufen kann ?', neutral
'WLAN {Dictionary_1} {Password_1}', neutral
'ich möchte mein internet zuhause das {Dictionary_1} {Password_1}', neutral
'Wie kann ich Member Verträge abschließen?', neutral
'ich möchte mein Rufnummer ändern . wie kann ich dass online machen ?', neutral
'Guten Tag was kostet eine Vertragsübernahme?', neutral
'Guten Tagwas kostet eine Vertragsübernahme?', neutral
'Kann man statt Vertragsverlängerung statt handy vertragsübernahme machen', neutral
'Kann ich einen M<Homenet Vertarg zurück geben?', neutral
'Bewertung für die Hilfe - Schulnote 5', angry
'Fuktioniert leider nicht da ich nur auf die Hauptnummer aufbuchen kann - ich will aber auf die {PhoneNumber_1} was aufbuchen', neutral
'Ich möchte einmalig bei der Nummer {PhoneNumber_1} ein Datenvolumen für {Date_4} dazukaufen - welche Möglichkeiten gibt es?', neutral
'Partnerkarte Datenvolumen aufbuchen', neutral
'ich habe ein Problem können Sie mir helfen?', neutral
'ok nein das wollt ich nicht wissen', neutral
'was ist der Unterschied zwischen EPS und WPS', neutral
'Weiterempfehlung homenet', neutral
'Weiterempfehlung homenet bonus', neutral
'meine frage: haben sie noch nie eine kündigung erhalten da ich immer noch die grundgebür verrechnet bekommen', angry
'Beachten Sie bitte folgende Änderung der Kündigungsfrist ab {Date_4}.', neutral
'Kuendigungsfrist ab {ZipCode_1}', neutral
'Wie kann ich meinen vertrag kündigen', neutral
'Wie kann ich meinen vertrag kündigen?', neutral
'Wie kann ich meinen Vertrag kündigen?', neutral
'hi {FullName_1} i need {FullName_1} talk with somebody in Customer {Customer_1} in English please', neutral
'i renewed my T-Mobile contract last {Date_5}', neutral
'datendienst im inland was bedeutet das', neutral
'Datendienst im Inland was bedeutet das', neutral
'ethernet verfügt über keine gültige IP-Konfiguration', neutral
'Wieviel würde das Iphone 6s 32gb abzüglich der 106 Punke kosten?', neutral
'Roaming', neutral
'posteingang', neutral
'Hallo mein ruf nummer ist gesperrt können sie mir sagen warum', neutral
'wie gehts', neutral
'Gebühren', neutral
'Wie ist es möglich dass ich für die Rufnummer 6767455824 am {Date_3}. schon mein gesamtes Datenvolumen verbraucht habe?', worry
'chat', neutral
'Basispaket', neutral
'Member', neutral
'Hallo ich würde bitte gerne meine Information erhalten da ich meine Rufnummer zu einem anderen Anbieter mitnehmen möchte.', neutral
'Hallo ich würde gerne meine Rufnummer zu einem anderen Anbieter mitnehmen wie kann ich das machen?', neutral
'Ich habe für 3 tagen 10 euro Guthaben aufgeladen jetzt habe ich gehen ich habe nur euro?', neutral
'Ich habe für 3 tagen 10 euro Guthaben aufgeladen jetzt habe ich gehsen ich habe nur 1euro?', worry
'ich habe einen tarif der anscheinend eine bindung hat was ich aber nicht abgeschlossen habe. das ist ein treue tarif!', angry
'Wie gehts dir?', neutral
'Hallo ich würde gerne meinen vertrag kündigen weil ich mehr daten brauche und bei anderen anbietern die smartphonetarife mit mehr daten um einiges günstiger sind. wie kann ich am einfachsten meinen vertrag kündigen?', neutral
'kann ich aus der Wehrsicherungsklausel aussteigen', neutral
'kann ich aus der Wersicherungsklausel aussteigen', neutral
'wertsicherung', neutral
'nachträgliche rufnummer mitnahme', neutral
'nmp', neutral
'Hallo kann man Homenet auch nur Monatlich {Street_1} Monate wären mir zu lange?', neutral
'Kündigung', neutral
'Kündigung {FullName_1}', neutral
'Hallo kann ich zusätzliches Datenvolumen kaufen? Vielen {Dictionary_1}', neutral
'können Sie mir sagen ob ich bei ihnen noch eine offene Rechnung habe?', neutral
'{Surname_1} {FullName_1}', neutral
'datenroaming deaktivieren', neutral
'datenroaming deaktivieren Wo sind die {Blacklist_Chat_1}', neutral
'Wo finde ich bei t mobil die Einstellung Wo findes ich bei der tmobile Seite die {Blacklist_Chat_1}', neutral
'An welchen Tag wird mein Guthaben immer aufgeladen', neutral
'An welchen Tag wird mein Guthaben immer aufgeldane', neutral
'Wann wird mein Guthaben wieder aufgeladen', neutral
'auslandstarife', neutral
'wie komme ich zu meinem Registriercode?', neutral
'Ich bin mit meinem WLAN verbunden aber empfange kein Internet somit kann ich in keinen Web-Browser oder sonstige {Blacklist_Chat_1} die Internet brauchen einsteigen Ich benutze das von Produkt Homenet bin aber jetzt mit meinem mobilen Internet verbunden Ich würde mich sehr freuen wenn Sie mir helfen können.', neutral
'ERROR', neutral
'zusatzpaket einmalig kaufen', neutral
'doch', neutral
'nein', neutral
'{Surname_1} dich.', neutral
'optionen', neutral
'Hallo Ich habe vor ein paar Monatenim zuge meiner Vertragsverlängerung mit t mobile ein Huawei p8 bekommen leider ist bei diesem Handy der Akku eine {Blacklist_Chat_1} denn nach mittlerweile 6 std ist er leer das ist doch ein {Surname_1} da man bei diesem Handy ja auch den Akku nicht so einfach wechseln kann den muss man kompliziert ausbauen. Gibt es für mich da jetzt bitte eine Lösung Ein neues Handy oder einen gratis Akkuwechsel ? Vielen Dank mfg {FullName_1} {Street_1} tel {PhoneNumber_1} kennwort {Password_1}', angry
'Wenn sie auf meine Frage nicht normal antworten können sonden irgendwas senden das nicht im zusammenhang stehtdas ist peinlichschönen Abenddas hier ist verlorene Zeit', angry
'Kombibonus', neutral
'handyhilfe', neutral
'einzelgesprächsnachweis', neutral
'kann ich die {FullName_1} noch kostenlos tauschen', neutral
'Sind die beiden Nummern noch gültig ...Wie lange', neutral
'Sind die beiden Nummern noch gültig Wie lange', neutral
'w sher langsam', neutral
'Datenroaming im Ausland', neutral
'Datenroaming im Ausland mit welcher Datenrate', neutral
'{Blacklist_Chat_1}', neutral
'Ich habe gerade gesehen dass wir schon wieder 10gb verbraucht haben sollen! Ich kann mir das nicht vorstellen! Kann das was nicht stimmen? Lg {FullName_1}', angry
'Hallo', neutral
'Ich wollte fragen?bei verlangerung handy muss ich wieder zahlung diese aktivirung {Date_3}?', neutral
'ausland', neutral
'das ist gelogen und du kannst nicht mehr außer fragen zu tmobile beantworten und diese beantwortest du nicht gut bitte probiert {FullName_1} optionen dass ist ja wirklich sinnlos', angry
'{FullName_1} ist {Street_1}', neutral
'FY', neutral
'chat', neutral
'apn home net öffentlich', neutral
'bussines gprs internet', neutral
'ich habe bereits bei tmobile eine Rufnummer möchte aber zu einem anderen anbieter wechseln- aber die tmobile nummer behalten.', neutral
'Wie kann ich meine Rufnummer mitnehmen wenn ich den vertrag wechsel?', neutral
'Wieso kann ich mich nicht anmelden', neutral
'vertrag kündigen', neutral
'posteingang webmail', neutral
'hallo ich möcht wissen wo ich meine tmobile punkte sehen kann', neutral
'kann meine {Blacklist_Chat_1} nicht aus dem ausland abrufen', neutral
'Schönen guten tag auf dieser nummer bekomme ich kein internet mehr {FullName_1}', neutral
'Nummer wechseln', neutral
'shopfinder', neutral
'Gibt es Laptops im Angebot', neutral
'Was ist juhu', neutral
'Ich möchte durch die {Blacklist_Chat_1} meinen namen ändern', neutral
'Wie Akteviere ich Home rotur', neutral
'würde mich für eine vertragsverlängerung interessieren', neutral
'Gibt es für die Box E5170 keine Bedienungsanleitung ???', neutral
'zeigt mir den {FullName_1} nicht an', neutral
'Ist die Kündigung auch via E-mail möglich?', neutral
'Kündigung', neutral
'my phonebook', neutral
'smart phone vertraege', neutral
'flamingo punkte', neutral
'Kann mich nicht einloggen', neutral
'Hure', angry
'Hi. How can I access my voice mail and change greeting messege {FullName_1} my {FullName_1} {FullName_1} card?', neutral
'Wie lautet mein Passwort?', neutral
'Wann kommt meine Rechnung?', neutral
'Hallo mich würde das Huawei p9 interessierenwürden Sie das Handy weiter empfehlen', neutral
'Ist das ein gutes Handy?', neutral
'Roming', neutral
'e-mail-änderung', neutral
'Adressänderung', neutral
'kann es nicht weil es die Option nicht gibt warum weiss keiner', angry
'apn', neutral
'Der Vertrag ist schon alt. Kundennummer {Customer_1}.12745745 Kennwort {Password_1}', neutral
'Die Rechnung ist höher als normal obwohl nicht telefoniert wurde. Die Tageszeiten immer gleich. Hier kann was nicht stimmen.', worry
'Im {Date_4} waren die kosten wie immer jetzt nicht mehr. was mache ich jetzt', worry
'Daten-Roaming auf 10 Eur setzen', neutral
'fax nummer tmobile', neutral
'Gibt es das Samsung Galaxy auch in anderen Farben als nr {Street_1}?', neutral
'Habe ich juhu angemeldet', neutral
'Wie viel koste mir s', neutral
'Wie viel kostet mir das s8 mit juhu', neutral
'Bitte Bestätigungsmails für die Vertragsverlängerung zusenden an', neutral
'Emailadresse bei Bestellung falsch', neutral
'Emailadresse falsch', neutral
'mein t-mobile', neutral
'wann kommt die Rechnung immer', neutral
'Wann habe ich mein Handy gekauft?', neutral
'How I can get detailed cost of calls {FullName_1} from 1 {FullName_1} {Date_5} ?', neutral
'Kann ich mein Internet auch im Ausland nützen?', neutral
'Wie kann ich meinen Vertrag kündigen?', neutral
'wann kommt mein handy', neutral
'Ich möchte gerne meinen Tarif wechseln wie kann ich das Online machen?', neutral
'karte wechseln', neutral
'Gesprächsgutschrift für Vertragsverlängerung', neutral
'Wann Vertragsverlängerung?', neutral
'Ich würde gerne wissen warum einmalige Kosten vom 3eur für das zu bestellende iphone anfallen', neutral
'I würde gerne wissen warum einmalige Kosten von 3eur für das zu bestellende I Phone anfallen', neutral
'kombibonus', neutral
'wie komme ich zu den rabatten an der Kassa', neutral
'Wie kann ich meinen Vertrag kündigen?', neutral
'datenroaming wertkarte', neutral
'webmail {Dictionary_1} {Password_1}', neutral
'Ist es möglich LTE Router eine zeit {Street_1} zu testen?wenn ja wielange darf man testen bzw. wieviel würde dieser test kosten?ist eine eigene SIM-karte notwendig?', neutral
'Hi.. was muss ich machen um meinen Vertrag zu kündigen?', neutral
'kündigung', neutral
'rücksendung', neutral
'Drittanbieter zahlungsdienste', neutral
'Drittanbieter Zahlungsdienste', neutral
'Akku vom neuen handy', neutral
'Muss ich den akku von meinem neuen handy voll aufladen lassen bevor ich es einschalte', neutral
'haben Sie momentan neztwerkproblem?', neutral
'haben sie Netzwerkproblem?', neutral
'das {FullName_1} leider keine {FullName_1} auf meine Frage', angry
'das isz leider keine Antwort auf meine Frage', angry
'mein t-mobil shop ist geschlosen in kufstein wie lade ich mein guhaben off wertkarten handy', neutral
'wie kann ich guthaben-aktivieren bei klax', neutral
'wie kann ich guthaben-aktiviren bei klax', neutral
'Wird die Servicepauschale bei einem Kombiangebot (Handy {FullName_1}) einmal oder zweimal berrechnet?', neutral
'Wird die Servicepauschale bei einem Kombiangebot Handy in Home Net einmal oder zweimal verrechnet?', neutral
'Meine Kundennummer {Customer_1} 5.27403.{Date_3}100000', neutral
'unter mein t-mobile sind keine rechnungen', neutral
'roaminggebühren griechenland', neutral
'sprachbox kennwort', neutral
'Kann man die datenroaming grenze von 60€ erweitern?', neutral
'fax nr fur kündigung', neutral
'Auf der Fairphone Seite steht es gibt bei T-Mobile das Fairphone 2 zu kaufen. Wie kann ich dises bei ihnen bekommen?', neutral
'Es liegt nicht am Handy sondern an der T-Mobile Box', neutral
'Gibt es aktuell eine Störung bei T-Mobile Internet? Standort {Location_1}', neutral
'Internet Box', neutral
'logout?', neutral
'{PhoneNumber_1}-', neutral
'Vertrag', neutral
'Suche Handy mit tarif', neutral
'Was heißt Msg', neutral
'Ich soll mich einloggen aber er nimmt mir das Kundenkennwort von meinem Vertrag nicht!', worry
'Bankverbindung abfragen', neutral
'Wie ist mein {FullName_1}', neutral
'box-passwort über nummerntastatur?', neutral
'wie gebe ich am telefon mein box-passwort ein?', neutral
'rechnung', neutral
'rechnung hoch', neutral
'wie gehts dir', neutral
'wie gehts=', neutral
'mobiles internet', neutral
'mobiles wlan', neutral
'Bestätigung zur Rufnummermitnahme wie erhältlich?', neutral
'Wie kann ich kündigen', neutral
'Warum habe ich im Datenpaket nur 6 GB Datenvolumen und auf Ihrer Homepage bewerben sie bei My Mobile Turbo 16 GB Datenvolumen?', neutral
'forum', neutral
'juhu', neutral
'Auslandssurfen', neutral
'{Country_1}', neutral
'Roaming für eine Woche', neutral
'Blasen', neutral
'Sex', neutral
'{Surname_1}', neutral
'Datenroaming Ausland wertkarte', neutral
'Ich möchte eine neue simkarte aktivieren aber da wird jetzt ein Benutzername und ein {Password_1} {Password_1} wo finde ich das?', neutral
'Ich möchte eine neue simkarte aktivieren aber da wird jetzt ein Benutzername und ein {Password_1} {Password_1} wo finde ich das?', neutral
'roaming internet pakete', neutral
'Hallo kann ich meinen Vertrag online värlenger ein neues Handy anfordern und tarief wechseln? Lg', neutral
'Hallo ich habe probleme {FullName_1} mit dem Internet. Ich heiße {FullName_1}. Auf der {FullName_1}', neutral
'{FullName_1} verloren', neutral
'meine freiminuten', neutral
'wie kann ich die online Rechnung vor Umstellung auf Weltkarte {ZipCode_1} abrufen', neutral
'Unter welcher Email-Adresse kann man Bewerbungen verschicken?', neutral
'Hallo. Ich möchte meinen Nachnamen ändern da ich geheiratet habe. Was muss ich machen?', neutral
'hallo gibt es für lanjährige kunden keine unlimitet tarif für nen besseren preis?', neutral
'ich habe mein kennwort {Password_1} und möchte ein neues anfordern', neutral
'ich sende meine rufnummer ab es kommt aber kein sicherheiscode den ich eingeben kann', neutral
'klax', neutral
'klaxtarife', neutral
'nummer hotline', neutral
'Ich möchte meine Kreditkartendaten aktualisieren', neutral
'Wie kann ich meine Kreditkarte aktualisieren?', neutral
'Versicherung kündigen', neutral
'Wieviele Freieinheiten habe ich in der EU?', neutral
'Hallo. Ich brauche e-mail Adresse von Manager für Klienten ( für Kunden) Danke.', neutral
'Rufnummer', neutral
'Sex {FullName_1} not {FullName_1} a', neutral
'Neues Handy eingerichtet mobilfunknetz nicht verfügbar', neutral
'Wie kann ich das Handy freischalten', neutral
'datenverbrauch Evn', neutral
'EGN', neutral
'mini {FullName_1}', neutral
'Internet Gebühren in {Country_1}', neutral
'Jumbo', neutral
'homenet empfang verbessern', neutral
'hallo bleibt der preis nach einer vertragsverlängerung die ich am {Date_1} machen kann gleich mein tarif ist:My HomeNet unlimited L i {Date_1}', neutral
'Hallo {FullName_1} ich habe eine Vertragsverlängerung gemacht und heute mein neues Handy bekommen (Samsung Galaxy A5 {ZipCode_1}) und benötige eine Nano {FullName_1}?! Kommt die seperat? MFg {FullName_1}', neutral
'Kündigung vom Internet', neutral
'überschreitung inkludierten Datenvolumens', neutral
'Telefon Kundendienst', neutral
'Was bekommt man bei einer Vertragsverlängerung?', neutral
'Wo ist ersichtlich wie hoch das Datenvolumen im ausland für meine aktuellen Tarife ist?', neutral
'livechat', neutral
'live chat', neutral
'Rückrufformular + Anhang lässt sich wiederholt nicht absenden!!', angry
'Posteingang', neutral
'guten tag', neutral
'ich habe eine frage', neutral
'60 euro', neutral
'wunschnummer', neutral
'hallo ich benötige Serverdaten um die Emails auf mein Handy laden zu können', neutral
'Hallo {FullName_1}', neutral
'{Location_1}', neutral
'APN einstellungen', neutral
'LTE Interneteinstellungen', neutral
'handy internet', neutral
'internet ladet langsam', neutral
'Mobile internet', neutral
'samsung s8', neutral
'Sind MMS kostenlos?', neutral
'Hallo! Mein Vetrag läuft im {Date_5} aus. Ich brauche ab da nur noch einen Vetrag von ca. 1 Jahr. Ist das möglich oder können nur Verträge über 2 Jahre abgeschlossen werden?', neutral
'doppeltes Datenvolumen bei bestehenden Kunden ab morgen?', neutral
'wo finde ich meine {Blacklist_Chat_1} nummer', neutral
'Dualsim Smartphon', neutral
'Guten Tag. Wieviele Verträge können in einem Kombivertrag verbunden sein. Zt habe ich vier Handyverträge. Ein Handyvertrag und ein Homenetz würde ich gerne dazu nehmen', neutral
'Guten Tag. Wieviele Verträge können zu einem Kombivertrag verbunden werden?', neutral
'sind bei einem dualsim smartphon beide plätze gebrnadet', neutral
'Bitte dringender Rückruf Techniker tel {PhoneNumber_1}. 4 Woche habe ich keine Internet {ZipCode_1} {Location_1} Hetzendorferstrasse {Date_3}', angry
'Habe keinen empfang beim wlan', neutral
'Ausersehen Pornoseite abonniert', worry
'Ausversehen Pornoseite abonniert', worry
'Wie bekomme ich unerwünscht {StreetSuffix_1}?', neutral
'Anrufe gehen nicht', neutral
'Internet und anrufe funktinorieren nicht', neutral
'ist meine vertragskündigung bei euch eingegangen? wenn ja mit welchem datum läuft der vertrag aus?', neutral
